name logF_CO (Jy) err-\+ R_CO (au) err-\+ R_90CO (au) err-\+
2MASSJ15534211-2049282 0.96 0.21 0.26  51 10  10  48.3 10.5   9.6
2MASSJ16001844-2230114 1.20 0.03 0.04  68 14  16  58.2 13.4  16.1
2MASSJ16020757-2257467 0.77 0.09 0.14  54 11  13  48.9 11.2  14.1
2MASSJ16035767-2031055 0.71 0.19 0.33  37  7 182  26.3  7.0 166.3
2MASSJ16035793-1942108 1.00 0.08 0.06  43  6   7  39.4  6.0   7.7
2MASSJ16075796-2040087 1.67 0.04 0.04  34  2   6  31.3  2.6   6.4
2MASSJ16082324-1930009 0.87 0.22 0.34 156 32  29 141.1 34.9  30.8
2MASSJ16123916-1859284 0.70 0.07 0.07 169 26  24 154.2 24.7  23.5
2MASSJ16142029-1906481 1.52 0.05 0.07  88  6   6  79.4  6.1   6.3
2MASSJ15521088-2125372 0.77 0.18 0.32  24  13  11  0    0     0
2MASSJ15530132-2114135 0.47 0.23 0.51  17  17  37  0    0     0
2MASSJ15562477-2225552 0.26 0.39 0.56  16  16 104  0    0     0
2MASSJ16014086-2258103 1.17 0.31 0.53  12  11  13  0    0     0
2MASSJ16062277-2011243 0.35 0.27 0.78   6   6  37  0    0     0
2MASSJ16081566-2222199 0.43 0.12 0.18  30  14 129  0    0     0
2MASSJ16090075-1908526 0.97 0.23 0.17  72  22  42  0    0     0
2MASSJ16095933-1800090 0.65 0.13 0.23  52  23  33  0    0     0
2MASSJ16104636-1840598 0.45 0.16 0.36  22  22 148  0    0     0
2MASSJ16115091-2012098 0.54 0.14 0.56  75  29 241  0    0     0
2MASSJ16143367-1900133 1.32 0.36 0.35  14  12  12  0    0     0
2MASSJ16154416-1921171 1.73 0.01 0.01 430  10  10  0    0     0
2MASSJ16163345-2521505 0.79 0.23 0.36  45  19  22  0    0     0
2MASSJ16181904-2028479 0.48 0.11 0.28  26  11 176  0    0     0
