Idx Name    Incl    PA      Freq    F_mm   R_mm Line F_CO       R_CO    R_CO/R_mm dist(Long+22)
            (deg)   (deg)   (GHz)  (mJy)   (au)	    (Jykms^-1)  (au)              (pc)
39 HD142666 62.2 162.1 240.0 120    53  2 21  4.24  171  5 3.2 0.2 148
40 HD143006 18.6 169.0 240.0  59    78  4 21  2.94  154  5 2.0 0.1 165
41 HD163296 46.7 313.3 240.0 715   137  2 21 60.56  478  5 3.5 0.1 101
43 TWHya    5.0  152.0 290.5 580    59  1 32 41.8   184  4 3.1 0.1  60
44 V4046Sgr 33.5 256.0 283.9  49.6  66 12 21 35.55  362 39 5.5 1.2  72.5
1  CXTau    55.1 246.2 227.7   9.8  29  4 21  1.94  115 13 3.9 0.7 128
2  DLTau    45.0 232.1 225.5 170.7 144 10 21  7.05  597 91 4.1 0.7 159
3  DMTau    36.0 338.0 283.9  99.1 178 14 21 15.21  876 23 4.9 0.4 145
4  GOTau    53.9  20.9 225.5  64.8 134  9 21 17.66 1014 83 7.6 0.8 144
5  UZTau    56.1 270.4 225.5 129.5  83  8 21  7.32  389 75 4.7 1.0 131
6  FPTau    42.9 237.8 230.5   8.4  47 16 21  0.81   74 17 1.6 0.7 128
7  CIDA1    38.5  11.5 338.6  35.9  38  9 32  1.25  132 14 3.5 0.9 136
8  CIDA7    31.4 274.0 338.2  25.5  21  6 32  1.19   95 11 4.6 1.7 136
9  MHO6     65.2 293.6 338.5  49.0  56  6 32  3.56  218  7 3.9 0.5 142
10 J0415    37.3 122.8 338.2   1.0  16  8 32  0.23   47 13 2.9 1.8 135
11 J0420    38.4 105.1 338.5  16.5  34  8 32  0.4    59 10 1.7 0.5 170
12 J0433    65.2 165.3 338.5  37.5  63  9 32  1.3   165 12 2.6 0.4 173
13 Sz65     61.5 108.6 225.0  29.9  66  2 21  2.08  178 25 2.7 0.4 155
14 Sz73     49.8  94.7 225.0  10.8  58  3 21  1.63  107  9 1.8 0.2 156
15 Sz75     60.2 169.0 225.0  34.1  56  2 21  3.01  195 21 3.5 0.4 151
16 Sz76     38.9 113.0 225.0   4.7  80 11 21  1.60  174  6 2.2 0.3 159
17 J1556    53.5  55.6 225.0  23.5  59  2 21  1.16  116  3 2.0 0.1 158
18 Sz84     65.0 168.0 225.0  12.6  81  3 21  1.41  148 18 1.8 0.2 152
19 RYLup    68.0 109.0 225.0  86.1 141  3 21  3.66  263 66 1.9 0.5 158
20 J1600    65.7 160.5 225.0  50.0 123  3 21  2.45  291 49 2.4 0.4 164
21 EXLup    30.5  70.0 225.0  19.5  49  2 21  3.14  140  9 2.9 0.2 157
22 Sz133    78.5 126.3 225.0  27.0 145  6 21  1.71  243 67 1.7 0.5 153
23 Sz91     51.7  17.4 225.0   9.5 123  3 21  2.34  358 64 2.9 0.5 159
24 Sz98     47.1 111.6 225.0 103.4 148  3 21  0     279 41 1.9 0.3 156
25 Sz100    45.1  60.2 225.0  21.7  56  2 21  1.08  121  8 2.2 0.2 136
26 J1608    74.0 107.0 225.0  38.8 141  3 21  5.90  305 77 2.2 0.6 155
27 V1094Sco 55.4 110.0 225.0 180.0 256 15 21  4.88  335 86 1.3 0.4 153
28 Sz111    53.0  40.0 225.0  60.3 105  2 21  2.56  363 75 3.4 0.7 157
29 Sz123A   43.0 145.0 225.0  16.1  60  2 21  0     118 10 2.0 0.2 162
30 GWLup    38.7  37.6 240.0  89    92  3 21  3.1   267  8 2.9 0.1 155
31 IMLup    47.5 144.5 240.0 253   244  4 21 30.68  803  9 3.3 0.1 158
32 MYLup    73.2 238.8 240.0  79    77  3 21  2.86  192  7 2.5 0.1 156
33 Sz129    34.1 151.0 240.0  86    68  3 21  1.56  130  8 1.9 0.1 161
34 AS209    35.0  85.8 240.0 288   127  2 21 10.62  280  5 2.2 0.1 121
35 SR4      22.0  18.0 240.0  69    29  2 21  1.5    82  7 2.8 0.3 134
36 DoAr25   67.4 290.6 240.0 246   147  2 21  2.78  233  6 1.6 0.1 138
37 DoAr33   41.8  81.1 240.0  35    25  2 21  1.12   64  6 2.6 0.3 139
38 WaOph6   47.3 174.2 240.0 161    91  4 21 10.91  297  7 3.3 0.1 123
42 J1100    19.1 340.3 225.0  25   118 31 21  1.3   273 31 2.3 0.7 191
