Source   2MASS/SSTc2d   EDR3_Dist_PPVII (pc)   Flux12CO (mJy km/s)  eFlux12CO   rms12CO   Cloud? Trapman? Binary?
AKC2006-18          J15414081-3345188   151.86
J154518.5-342125    J15451851-3421246   153.02                                    1
Lup706              J16083733-3923109   170.7
SONYC-Lup3-7        J16085953-3856275   155.85
SONYC-Lup3-10       --                  158
Sz65                J15392776-3446171 153.47   2538.0    47.0     38.0     0      1 0
Sz66                J15392828-3446180 155.92    373.0    84.0     25.0     0      1 0
J15430131-3409153   J15430131-3409153 158        13.0    69.0     69.0     1      0 0
J15430227-3444059   J15430227-3444059 158       -14.0    28.5     28.5     0      0 0
J15445789-3423392   J15445789-3423392 153.95     12.0    28.5     28.5     0      0 0
J15450634-3417378   J15450634-3417378 158       303.0    64.0     23.0     1      0 0
J15450887-3417333   J15450887-3417333 154.81    229.0    67.0    -99.0   -99.0    0 0
Sz68                J15451286-3417305 158      1350.0   134.0     36.0     1      0 1
Sz69                J15451741-3418283 152.56   1519.0   207.0     21.0     1      1 0
Sz71                J15464473-3430354 155.2    2175.0   257.0     25.0     0      1 0
Sz72                J15475062-3528353 156.71    240.0    31.0     22.0     1      1 0
Sz73                J15475693-3514346 157.82   1654.0   108.0     32.0     0      1 0
Sz74                J15480523-3515526 158       270.0    38.0     22.0     0      0 1 #different from Miotello+21
Sz75                J15491210-3539051 158      3923.0   242.0    -99.0   -99.0    1 1
Sz76                J15493074-3549514 156.4    1691.0    83.0    -99.0   -99.0    1 0
Sz77                J15514695-3556440 155.25    350.0    80.0     23.0     0      1 1
Sz81A               J15555030-3801329 158.23     70.0    29.7     29.7     0      0 1
J15560210-3655282   J15560210-3655282 157.96   1439.0    88.0    -99.0   -99.0    1 0 #RXJ1556.1-3655
Sz82                J15560921-3756057 155.82  26000.0   390.0    -99.0   -99.0    1 0 #Cleeves+16
Sz83                J15564230-3749154 158      8477.0   682.0    -99.0   -99.0    1 0
Sz84                J15580252-3736026 158      1471.0   145.0    -99.0   -99.0    1 0
