# Name                    Dist. SpT  Teff M*   M Mdust RCO68%    Rdust68%  Rdust90%  Rdust95%  Ratio
                          (pc)       (K)               (")       (")       (")       (")
1 EXLup                   157.7 M0   3850 0.53 N  19.1 0.70 99.0 0.19 0.01 0.23 0.01 0.25 0.01 3.7 99.0 154.72
2 Lup706                  158.5 M7.5 2795 0.06 G   0.4 0.39 99.0 0.36 99.0 0.51 99.0 0.58 99.0 0.0 99.0 170.70
3 MYLup                   156.6 K0   5100 1.09 G  76.5 0.81 0.10 0.38 0.01 0.51 0.01 0.58 0.02 2.1 0.3  158
4 RXJ1556.1-3655          158.0 M1   3705 0.49 G  24.8 0.53 0.05 0.19 0.01 0.25 0.01 0.28 0.01 2.8 0.3  157.96
5 RYLup                   159.1 K2   4900 1.53 N 123.0 1.15 0.10 0.61 0.01 0.80 0.01 0.93 0.03 1.9 0.2  158
6 Sz65                    155.3 K7   4060 0.70 G  27.4 0.76 0.09 0.16 0.01 0.24 0.01 0.28 0.02 4.8 0.6  153.47
7 Sz66                    157.3 M3   3415 0.29 G   6.5 0.61 99.0 0.11 0.02 0.16 0.05 0.19 0.08 5.7 99.0 155.92
8 Sz69                    154.6 M4.5 3197 0.20 G   7.1 0.56 0.08 0.09 99.0 0.20 99.0 0.31 99.0 5.9 99.0 152.56
9 Sz71                    155.9 M1.5 3632 0.41 G  71.2 0.84 0.12 0.45 0.01 0.70 0.01 0.83 0.02 1.9 0.3  155.2
10 Sz72                   155.9 M2   3560 0.37 G   6.0 0.15 0.05 0.08 0.02 0.12 0.05 0.14 0.07 1.8 0.7  156.71
11 Sz73                   156.8 K7   4060 0.78 G  13.2 0.48 0.06 0.27 0.04 0.47 0.08 0.55 0.12 1.8 0.3  157.82
12 Sz75                   151.8 K6   4205 0.80 N  31.9 0.97 0.11 0.12 0.01 0.17 0.01 0.19 0.01 8.0 0.9  158
13 Sz76                   159.5 M4   3270 0.23 G   4.9 0.62 0.06 0.26 0.02 0.41 0.05 0.47 0.08 2.4 0.3  156.4
14 Sz77                   154.8 K7   4060 0.75 G   2.1 0.17 0.08 0.36 99.0 0.75 99.0 0.88 99.0 0.5 99.0 155.25
15 Sz82                   158.4 K5   4350 0.95 N 264.0 3.75 0.67 1.15 0.01 1.64 0.01 1.82 0.01 3.3 0.6  155.82
16 Sz83                   159.6 K7   4060 0.67 N 191.7 1.44 0.13 0.29 0.01 0.39 0.01 0.46 0.01 5.0 0.4  158
17 Sz84                   152.6 M5   3125 0.17 G  13.4 0.89 0.12 0.24 0.01 0.34 0.03 0.40 0.04 3.7 0.5  158
18 Sz90                   160.4 K7   4060 0.78 G   9.9 0.33 0.10 0.12 0.01 0.16 0.03 0.19 0.04 2.7 0.8  160.37
