#Table: J/A+A/594/A85/tablea4.dat (http://cdsarc.cds.unistra.fr)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     |   |   |   |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       |        |       |        |       |        |       |        |       |        |       |        |       |        |       |        |     I[|     I[|     I[|     I[
     | ga|   |   |       |      I|      I|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|  IC18O|    IC18|  IC18O|    IC18|  IC18O|    IC18|  IC18O|    IC18|  IC17O|    IC17|  IC17O|    IC17|  IC17O|    IC17|  IC17O|    IC17|CI](3P1|CI](3P1|CI](3P2|CI](3P2
   Rc|mma| hc|psi|  Mdisk|870um10|870um80|O(1-0)10|O(1-0)80|O(2-1)10|O(2-1)80|O(3-2)10|O(3-2)80|O(6-5)10|O(6-5)80|O(1-0)10|O(1-0)80|O(2-1)10|O(2-1)80|O(3-2)10|O(3-2)80|O(6-5)10|O(6-5)80|(1-0)10|O(1-0)80|(2-1)10|O(2-1)80|(3-2)10|O(3-2)80|(6-5)10|O(6-5)80|(1-0)10|O(1-0)80|(2-1)10|O(2-1)80|(3-2)10|O(3-2)80|(6-5)10|O(6-5)80|-3P0)10|-3P0)80|-3P1)10|-3P1)80
-----|---|---|---|-------|-------|-------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|-------|-------|-------
 30.0|0.8|0.1|0.1|0.00001|0.00015|0.00617| 0.31605| 0.18857| 0.39925| 0.21707| 0.40390| 0.21001| 0.26793| 0.12320| 0.01714| 0.00794| 0.04572| 0.02102| 0.06131| 0.02696| 0.04047| 0.00761|0.00028| 0.00011|0.00087| 0.00030|0.00140| 0.00038|0.00144| 0.00008|0.00010| 0.00004|0.00030| 0.00010|0.00049| 0.00013|0.00051| 0.00003|0.03129|0.02750|0.02436|0.01944
 30.0|0.8|0.1|0.1|0.00010|0.00101|0.00834| 0.72703| 0.47237| 0.80114| 0.47936| 0.77427| 0.44410| 0.51495| 0.26779| 0.13739| 0.08992| 0.23402| 0.16563| 0.25332| 0.17846| 0.14520| 0.08282|0.00949| 0.00023|0.02314| 0.00091|0.02948| 0.00082|0.02025|-0.00235|0.00347| 0.00004|0.00966| 0.00008|0.01353|-0.00015|0.00930|-0.00112|0.06244|0.05709|0.04335|0.03686
 30.0|0.8|0.1|0.1|0.00050|0.00433|0.00994| 1.12709| 0.74457| 1.19639| 0.73598| 1.13850| 0.67296| 0.75817| 0.41344| 0.30581| 0.23458| 0.44778| 0.33926| 0.46102| 0.34087| 0.26087| 0.17696|0.05517| 0.02531|0.09796| 0.04738|0.10750| 0.05015|0.06055| 0.01921|0.02378| 0.00968|0.05160| 0.02201|0.06044| 0.02512|0.03083| 0.00700|0.09084|0.08354|0.06025|0.05249
 30.0|0.8|0.1|0.1|0.00100|0.00768|0.01071| 1.29509| 0.86471| 1.35233| 0.84539| 1.28276| 0.77030| 0.86678| 0.47958| 0.39514| 0.30692| 0.55337| 0.41952| 0.56115| 0.41507| 0.31386| 0.21809|0.08493| 0.04488|0.13947| 0.07601|0.14980| 0.07789|0.08203| 0.03324|0.04044| 0.01831|0.07843| 0.03898|0.08858| 0.04326|0.04300| 0.01365|0.10167|0.09367|0.06649|0.05856
 30.0|0.8|0.1|0.1|0.00500|0.02462|0.01406| 1.74876| 1.17426| 1.79299| 1.12611| 1.68575| 1.01496| 1.13718| 0.62203| 0.65466| 0.50215| 0.82985| 0.61544| 0.81190| 0.58742| 0.44185| 0.30742|0.19796| 0.12227|0.27966| 0.16184|0.28316| 0.15496|0.13914| 0.07086|0.10749| 0.06083|0.17165| 0.10023|0.17873| 0.10141|0.07565| 0.03520|0.13970|0.13179|0.08413|0.07958
 30.0|0.8|0.1|0.1|0.01000|0.03552|0.01612| 1.90038| 1.28597| 1.92765| 1.22066| 1.80811| 1.09578| 1.23619| 0.66849| 0.75544| 0.57729| 0.93533| 0.68773| 0.90752| 0.64987| 0.48363| 0.33447|0.24494| 0.15724|0.33451| 0.19987|0.33300| 0.18877|0.15652| 0.08397|0.13694| 0.08243|0.20831| 0.12786|0.21241| 0.12661|0.08496| 0.04320|0.16816|0.16005|0.09298|0.09107
 30.0|0.8|0.1|0.1|0.10000|0.08785|0.02445| 2.37994| 1.63855| 2.38661| 1.54335| 2.23898| 1.37838| 1.57048| 0.81981| 1.01183| 0.76591| 1.22916| 0.89015| 1.18533| 0.82980| 0.62436| 0.41568|0.33031| 0.23074|0.45322| 0.28462|0.45022| 0.26734|0.20441| 0.12170|0.18225| 0.13078|0.27462| 0.19008|0.27970| 0.18564|0.11199| 0.06916|0.25962|0.25052|0.13016|0.13354
 30.0|1.0|0.1|0.1|0.00001|0.00016|0.00575| 0.31274| 0.19005| 0.39458| 0.21956| 0.39289| 0.20988| 0.23893| 0.11247| 0.01733| 0.00774| 0.04473| 0.01996| 0.05811| 0.02460| 0.03525| 0.00468|0.00034| 0.00012|0.00104| 0.00031|0.00163| 0.00038|0.00162| 0.00004|0.00012| 0.00004|0.00036| 0.00011|0.00058| 0.00013|0.00060| 0.00002|0.03260|0.02937|0.02244|0.01850
 30.0|1.0|0.1|0.1|0.00010|0.00104|0.00785| 0.76596| 0.50673| 0.85087| 0.52443| 0.81421| 0.48346| 0.48647| 0.26506| 0.13357| 0.08696| 0.22802| 0.16257| 0.24415| 0.17344| 0.12815| 0.06949|0.00884|-0.00031|0.02079|-0.00036|0.02590|-0.00079|0.01706|-0.00297|0.00327|-0.00014|0.00890|-0.00040|0.01218|-0.00080|0.00808|-0.00126|0.07757|0.07215|0.04714|0.04123
 30.0|1.0|0.1|0.1|0.00050|0.00421|0.00936| 1.33041| 0.88433| 1.40578| 0.87921| 1.31539| 0.79807| 0.79049| 0.45601| 0.32017| 0.24983| 0.48201| 0.37290| 0.49281| 0.37251| 0.25083| 0.17273|0.04869| 0.02023|0.08543| 0.03887|0.09325| 0.04125|0.04981| 0.01334|0.02130| 0.00754|0.04513| 0.01738|0.05218| 0.01964|0.02525| 0.00424|0.12569|0.11813|0.07167|0.06489
 30.0|1.0|0.1|0.1|0.00100|0.00717|0.01006| 1.55945| 1.05157| 1.62502| 1.03251| 1.51155| 0.93055| 0.91253| 0.52980| 0.43145| 0.34117| 0.61817| 0.47758| 0.61924| 0.46751| 0.31322| 0.22194|0.07869| 0.04009|0.13241| 0.07143|0.14228| 0.07371|0.07270| 0.02811|0.03663| 0.01548|0.07197| 0.03466|0.08125| 0.03870|0.03710| 0.01063|0.14750|0.13898|0.08138|0.07424
