Name   rin (au) rout (au) temp (K) etemp (K) q eq tr ref
IMLup  170 559 55 9.0e-01 5.8e-01 1.0e-02 21 Law+21
GMAur  135 613 52 9.0e-01 6.1e-01 2.0e-02 21 Law+21
AS209   95 244 42 1.0e+00 7.8e-01 5.0e-02 21 Law+21
MYLup   61 157 35 3.0e-01 4.1e-01 3.0e-02 21 Law+22
GWLup   41 143 26 5.0e-01 6.0e-01 4.0e-02 21 Law+22
WaOph6  47 171 37 6.0e-01 4.7e-01 3.0e-02 21 Law+22
DoAr25  67 268 44 1.1e+00 5.4e-01 5.0e-02 21 Law+22
Sz91    69 250 47 7.0e-01 7.0e-01 3.0e-02 32 Law+22
CITau   36 233 48 7.0e-01 4.2e-01 3.0e-02 32 Law+22
DMTau   80 401 38 5.0e-01 5.6e-01 2.0e-02 21 Law+23
LkCa15  90 743 31 1.0e+00 4.6e-01 3.0e-02 21 Law+23
