Source   2MASS/SSTc2d   EDR3_Dist_PPVII (pc)   FluxCO (mJy km/s)   eFluxCO Trapman? Binary?
J15354856-2958551 J15354856-2958551  87.84     55.0  34.0 0 1
J15514032-2146103 J15514032-2146103 140.84     87.0  38.0 0 0
J15521088-2125372 J15521088-2125372 154.94    285.0  45.0 0 0
J15530132-2114135 J15530132-2114135 143.04    160.0  28.0 0 0
J15534211-2049282 J15534211-2049282 142       511.0  59.0 1 1
J15551704-2322165 J15551704-2322165 142         5.0  37.0 0 1
J15554883-2512240 J15554883-2512240 143.57    -14.0  44.0 0 0
J15562477-2225552 J15562477-2225552 142.38    133.0  19.0 0 0
J15570641-2206060 J15570641-2206060 145.33     -9.0  23.0 0 0
J15572986-2258438 J15572986-2258438 142        56.0  36.0 0 1
J15581270-2328364 J15581270-2328364 145.70     30.0  37.0 0 0
J15582981-2310077 J15582981-2310077 141.13     56.0  23.0 0 0
J15583692-2257153 J15583692-2257153 167.34   4607.0  75.0 0 0
J15584772-1757595 J15584772-1757595 138.21    -75.0  30.0 0 0
J16001330-2418106 J16001330-2418106 146.57    -32.0  40.0 0 0
J16001730-2236504 J16001730-2236504 145.10    -35.0  33.0 0 1
J16001844-2230114 J16001844-2230114 142      1835.0  69.0 1 1
J16014086-2258103 J16014086-2258103 135.85    507.0  39.0 0 1
J16014157-2111380 J16014157-2111380 141.56      9.0  35.0 0 0
J16020039-2221237 J16020039-2221237 141.58     60.0  27.0 0 0
J16020287-2236139 J16020287-2236139 142       -30.0  32.0 0 0
J16020757-2257467 J16020757-2257467 140.68    632.0  63.0 1 0
J16024152-2138245 J16024152-2138245 140.54     40.0  26.0 0 0
J16025123-2401574 J16025123-2401574 145.03    -24.0  30.0 0 0
J16030161-2207523 J16030161-2207523 140.36     55.0  25.0 0 0
J16031329-2112569 J16031329-2112569 137.61    -12.0  25.0 0 0
J16032225-2413111 J16032225-2413111 140.05     40.0  17.0 0 0
J16035767-2031055 J16035767-2031055 142.86    180.0  26.0 1 0
J16035793-1942108 J16035793-1942108 154.19   1490.0 158.0 1 0
J16041740-1942287 J16041740-1942287 154.10     67.0  44.0 0 0
J16042165-2130284 J16042165-2130284 145.31  20268.0  67.0 0 0
J16043916-1942459 J16043916-1942459 150.94    -31.0  37.0 0 1
J16050231-1941554 J16050231-1941554 154.35    -14.0  41.0 0 0
J16052459-1954419 J16052459-1954419 152.48    -43.0  34.0 0 0
J16052556-2035397 J16052556-2035397 142         8.0  31.0 0 1
J16052661-1957050 J16052661-1957050 142       111.0  37.0 0 1 #borderline
J16053215-1933159 J16053215-1933159 152.33      2.0  25.0 0 0
J16054540-2023088 J16054540-2023088 138.72    101.0  39.0 0 0
J16055863-1949029 J16055863-1949029 152.15    -59.0  37.0 0 0
J16060061-1957114 J16060061-1957114 142         3.0  31.0 0 1
J16061330-2212537 J16061330-2212537 140.29    -13.0  31.0 0 0
J16062196-1928445 J16062196-1928445 142        23.0  50.0 0 1
J16062277-2011243 J16062277-2011243 153.48    151.0  27.0 0 0
J16063539-2516510 J16063539-2516510 138.74     48.0  31.0 0 0
J16064102-2455489 J16064102-2455489 152.90     14.0  31.0 0 0
J16064115-2517044 J16064115-2517044 152.09    -46.0  23.0 0 0
J16064385-1908056 J16064385-1908056 142        60.0  29.0 0 0
